"
  Zwart - Black Icon Pack","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","October 13, 2018","Awesome design but it crashes every time I search for icon. In many cases it doesn't apply right icon (i had to manually search for them). While searching i had to make sure i selected all icons otherwise it would not search and crash instead and in many case it crashes even if you select all icons.","17 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","April 23, 2020","Great pack. Naturally it doesn't have everything I use but it has A LOT. I wish Google would allow overlays just to Black out the original icons for symmetry but it's all gravy; I just use the pack with Sesame so every once in a while I see an unsupported icon.","21 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-fl6FfBwGqreyeJPUtww9IPhTZywimHbyMPzRk0A=s32-rw","Celina Roberts","","May 16, 2021","The request option doesn't seem to work and I wish we'd be able to change the colours of icons through the app, but I'm very happy with the black icons for now. They look very sleek and I'll probs have them for a while","12 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8hoAuuEXSzM8FeS2M6peIRvpH1GToXafyB6eBIN-0=s32-rw","smahnoork","Show review history","October 21, 2022","Beautiful icons for a huge variety of apps",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-9TtJl0mDOGajLFDf-VxsJ10NzWOASjI-1aI8xb9I=s32-rw","Nika Nedina","","September 3, 2022","wonderful app, there is many icons what i like",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-3XMQJ_obm9OzDQTCPiAtVQNtLqpZjRGdeuFQI8Q=s32-rw","Laura H","","December 31, 2020","Clean and simple. Hoping the lack of white helps with screen burn, which was a huge problem on my previous Note. Amount of icons available is amazing. Hope you keep the updates coming. Thank you for a quality pack.","33 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_MYyucUH9OSzgfTrTN-TXsY9NznqmCKHlzlDBlAA=s32-rw","Kris Ocampo de Dios","Show review history","July 13, 2022","It said in the update (Jul 12) ""51 NEW & updated"" icons, I don't see any ""NEW"" icons on the new icons section of the app.. 🤷🏻🤷🏻🤦🏻","18 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu21449eZWds0HUAX9xGDbU5QXvh-86Jo9znqpVW=s32-rw-mo","blez c","Show review history","July 30, 2022","Most of my apps are themed. The icons stand out on a lighter color wallpaper.","15 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8JDCXrnOmF_PV3i_Jzm-BfnD3QDJtpE_GN1WrgoA=s32-rw","Tarun Kumar","","July 20, 2022","Can't see icons unless the wallpaper is completely white.",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","August 15, 2019","just want the designer to know their work is very appreciated. Great minimalist designs, frequently updated and zero annoying ads. been using only this icon pack for years now. nothing else comes close. What a gem! thank you so much for keeping this free.","9 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","May 1, 2022","Update 5/1/22: No longer an issue. (Wallpaper doesn't load fullscreen within app; only visible as thumbnails, but applies and saves fine. Kind of a weird issue...only in Zwart, not Whicons.)","38 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","December 7, 2019","I love you're app and icons. ONE thing I would suggest that would be really easy to do and helpful to your users.... make it so we can mark our ""favorites"".... takes too long to scroll and I cant remember where the icon I liked was. Would be nice to just scroll through and mark my favorite ones to a separate folder","23 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9A5SPFyQFtu0fPsBRg8fM-7IiOny7do3F4yG7kxw=s32-rw","Pedro Castillo","","May 25, 2021","Does not work. Wasted a lot of time and supposedly I had to install some other launchers, one of them screwed up my home screen. Nothing worked. Setting a single icon in a different color should be easy.",""
"https://play-lh.googleusercontent.com/a/ALm5wu3RYShPYEniA5OGc83rdeoIdyGBi7vw1Amhw64pXIU=s32-rw-mo","SJC Burrage","","May 3, 2020","Great for avoiding burn-in on Amoled. On my old S9 the home screen ended up permanently etched into the amoled. Now got the S10 and I'm being more cautious this time. Using these icons and a dark wallpaper will both save battery power and the amoled.","13 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu84BNdkjVY06d9cLUCHc_4-xuoFKJo9RQ96dy1s=s32-rw","Godwin Fernandes","","May 4, 2022","I am an IOS user for a long time, this is my first Android phone after almost 9 years. Its amazing to have such eye catching icon on my device, I hope the developer keeps on updating the icons which are not supporting 3rd party icons.","28 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","December 9, 2019","This is by far the best simple, minimilistic and clean icon pack. It has almost all the important app icons and also icons for some underrated apps too....Amazing experience using this app. Yous guys should try it too.Also, a big thanks to the developer. Great work.","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_z2H4p1CA5FDKHhPHlWIIxK8wrmibz0AVU3fe7zA=s32-rw","DXRBKN","","March 10, 2021","Since 2013 I have been using this icons No matter the launcher, the cellphone or app, Zwart just works Minimalist, black and lovely with an incredible library for al kinds of app Great!!!","21 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-y4BreThvRx6H3G5J3qU443FX3fS-gY4QeqTJH=s32-rw","Miss Kobayashi","","July 9, 2021","Same reaction as with the Whicon Icon pack. Simply beautiful and minimalistic, some icons will look awkward with the Reshape Legacy Icons option in Nova Launcher but it's a pretty good icon pack overall.","52 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-b7MDdqFc5cSlEW9oy2sxOhuf8oz6NYaOT09znhg=s32-rw","jane shui","","April 14, 2021","Minimalistic and covers a huge range of apps, I switch between Zwart and Whicons. Hopefully, there can be other colors as well","17 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9lgkzmalmAbN6bIIgCMpUYX_jTH0-uy3YCOngcMQ=s32-rw","James Spain","","December 30, 2020","Just got my home screen set up with these beautiful icons. One thing I would like to ask is if you can make an icon for the frontpoint security app. I am really loving these icons.","8 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu91pJqXSoQFB2vBPJWa_ICk2TbqFa8Wuw3xym-tFQ=s32-rw","sumeet pednekar","","July 23, 2020","I went or searching for black icons pack and this app is best amongst all.... i found icon for almost every app on my phone.... Just a small feedback that add request icon feature in app so that developer of app would come to know which app icon is needed to user....making donation⭐⭐⭐","14 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8D4bv8RgEIz72YyVUWorkij6BPJB5rXP5OaMlppg=s32-rw","Patanjali Biswas","","May 1, 2020","Amezing app. Very good looking, constant icon set. The collection of icons are absolutely stunning. Probably best collection for any FREE app. Cheers to the creator 😊","13 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","November 28, 2019","Absolutely love these icons. They look gorgeous on a white background, and there are icons for so many apps, even ones that aren't quite so popular. Thanks!","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8L4IF6LJf1rzxwO2Ok7I2QrRnHn_7pM6v0lBHoWg=s32-rw","Robert","","March 6, 2021","Perfect. I use a lot of obscure apps and most of those are covered. However, I must take a star off for missing an icon for Flying Gorrila, possibly the greatest mobile game of all time.","39 people found this review helpful"
